296	sypa	siapa
297	sperti	seperti
298	sprt	seperti
299	sprti	seperti
300	sring	sering
301	sling	saling
302	smbil	sambil
303	sgt	sangat
304	sngt	sangat
305	sngat	sangat
306	sy	saya
307	sya	saya
308	sbb	sebab
309	sbab	sebab
310	sblh	sebelah
311	sblah	sebelah
312	sblm	sebelum
313	sblum	sebelum
314	sdng	sedang
315	sdang	sedang
316	sdkt	sedikit
317	sdkit	sedikit
318	sgla	segala
319	sgala	segala
320	slain	selain
321	sllu	selalu
322	slalu	selalu
323	slama	selama
324	sndr	sendiri
325	sndri	sendiri
326	sndiri	sendiri
327	stiap	setiap
328	tau	tahu
329	tapi	tetapi
330	td	tadi
331	tdi	tadi
332	tdk	tidak
333	temen	teman
334	tmen	teman
335	tman	teman
336	tetep	tetap
337	tgl	tanggal
338	thn	tahun
339	tp	tetapi
340	tpi	tetapi
341	trus	terus
342	truz	terus
343	tuk	untuk
344	ttpi	tetapi
345	ttg	tentang
346	tw	tahu
347	thp	tahap
348	tmpil	tampil
349	tgl	tanggal
350	tnya	tanya
351	tnpa	tanpa
352	tmpt	tempat
353	tmpat	tempat
354	u 	kamu
355	udah	sudah
356	udh	sudah
357	utk	untuk
358	upya	upaya
359	w	saya
360	wlau	walau
361	wlw	walau
362	wktu	waktu
363	yg	yang
364	yng	yang
365	ykin	yakin
366	hbt	hebat
368	qq	wewe
369	sukseme	terima kasih
370	suksma	terima kasih
371	suksema	terima kasih
372	trims	terima kasih
373	terimakasih	terima kasih
374	trima	terima
375	trimakasih	terima kasih
376	inggih	iya
377	nggih	iya
378	enggih	iya
379	astungkara	semoga
380	sampun	sudah
381	tyang	saya
382	ring	dari
383	tks	terima kasih
384	mantabs	mantap
385	rahayu	sejahtera
386	terimskasih	terima kasih
387	sksm	terima kasih
388	makasi	terima kasih
389	asane	seperti
390	liu	banyak
391	ane	yang
392	suba	sudah
393	iraga	kita
394	sing	tidak
395	kenken	kenapa
396	ampunang	jangan
397	ngalih	cari
398	gae	ketja
399	manten	saja
400	dumogi	semoga
401	trmakasih	terima kasih
402	trimaksih	terima kasih
403	ngih	iya
404	suksama	terima kasih
405	trimakasi	terima kasih
406	kasi	kasih
407	trmksi	terima kasih
408	thank	terima kasih
409	mael	mahal
410	bes	terlalu
411	ampure	maaf
412	ampura	maaf
413	nyantos	tunggu
414	sabilang	setiap
415	sabeh	hujan
416	sapunapi	bagaimana
417	tityang	saya
418	kaden	kira
419	wenten	ada
420	jagi	akan
421	nampek	dekat
422	yening	jika
423	sampunang	jangan
424	gen	saja
425	cen	mana
426	dadi	boleh
427	pelihang	salah
428	pelih	salah
429	ngae	buat
430	pocol	percuma
431	usak	rusak
432	mebenahin	benar
433	ade	ada
434	durung	belum
435	mai	sini
436	konden	belum
437	suksme	terima kasih
