1	acra	acara
2	adalh	adalah
3	ad	ada
4	adlah	adalah
5	adlh	adalah
6	agk	agak
7	agr	agar
8	aj	saja
9	aja	saja
10	aje	saja
11	ak	aku
12	akn	akan
13	ato	atau
14	atw	atau
15	ama	sama
16	amp	sampai
17	ampai	sampai
18	ampe	sampai
19	aq	aku
20	bdn	badan
21	bgai	bagai
22	bagaimn	bagaimana
23	bagaimna	bagaimana
24	bgaimn	bagaimana
25	bgaimna	bagaimana
26	bgi	bagi
27	bhn	bahan
28	bhs	bahasa
29	bhw	bahwa
30	bhwa	bahwa
31	bhkan	bahkan
32	bae	baik
33	baek	baik
34	blik	balik
35	bpk	bapak
36	bpak	bapak
37	bnget	sekali
38	bngt	sekali
39	banget	sekali
40	bgitu	begitu
41	bgtu	begitu
42	bkn	bukan
43	blh	boleh
44	bleh	boleh
45	blg	bilang
46	blng	bilang
47	blh	boleh
48	bls	balas
49	blum	belum
50	blom	belum
51	blm	belum
52	belom	belum
53	bnr	benar
54	bnar	benar
55	brp	berapa
56	brpa	berapa
57	brapa	berapa
58	bs	bisa
59	bsa	bisa
60	bsk	besok
61	bsok	besok
62	bwt	buat
63	byk	banyak
64	bnyak	banyak
65	bnyk	banyak
66	brg	barang
67	brng	barang
68	bwh	bawah
69	bgni	begini
70	bgini	begini
71	blkng	belakang
72	blkang	belakang
73	blakang	belakang
74	bli	beli
75	bntuk	bentuk
76	bri	beri
77	brita	berita
78	btul	betul
79	bku	buku
80	cos	karena
81	cra	cara
82	cri	cari
83	cz 	karena
84	ckp	cukup
85	ckup	cukup
86	cma	cuma
87	dtang	datang
88	dteng	datang
89	dtng	datang
90	dgn	dengan
91	dn	dan
92	dgn	dengan
93	dngan	dengan
94	dngn	dengan
95	dlm	dalam
96	dlam	dalam
97	dlem	dalam
98	dalem	dalam
99	dmn	dimana
100	dmna	dimana
101	dmana	dimana
102	dpt	dapat
103	dpat	dapat
104	dpet	dapat
105	dapet	dapat
106	dri	dari
107	drpd	daripada
108	dpn	depan
109	dpan	depan
110	dy	dia
111	dlu	dulu
112	dg	dengan
113	emang	memang
114	engga	enggak
115	ga	enggak
116	gak	enggak
117	gk	enggak
118	gmn	gimana
119	gmna	gimana
120	gmpng	gampang
121	gmpang	gampang
122	gt	gitu
123	gtu	gitu 
124	gue	saya
125	gw	saya
126	hny	hanya
127	hnya	hanya
128	hrg	harga
129	hrga	harga
130	hri	hari
131	hrs	harus
132	hrus	harus
133	hsil	hasil
134	hdp	hidup
135	hdup	hidup
136	ikt	ikut
137	ingt	ingat
138	ingn	ingin
139	jd	jadi
